camera_id,camera_name,customer_id,customer_name,cohort,f_subgroup,disposition,human_readable
401956,Office Alarm camera (1),35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401957,Hallway Alarm camera (1),35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401958,Stored Video camera (1),35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401959,4,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401960,5,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401961,6,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401962,7,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401963,8,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401964,9,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401965,10,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401966,11,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401967,12,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401968,13,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401969,14,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401970,15,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401971,16,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401972,17,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401973,18,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401974,19,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401975,20,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401976,21,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401977,22,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401978,23,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401979,24,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401980,25,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401981,26,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401982,27,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401983,28,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401984,29,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401985,30,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401986,31,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
401987,32,35829,Site 1,B,,on_schedule_B,Cohort B per audit; cam is on a Paused/Suspended schedule. Paused schedule doesn't run → no events to Snowflake. Customer-controlled state.
